# [1]id	[2]Nonref Allele Frequency	[3]Number of sites
0	0.000000	23234
0	1.038339	3101
0	2.076677	1593
0	3.115016	1046
0	4.153355	848
0	5.191693	639
0	6.230032	569
0	7.268371	440
0	8.306709	412
0	9.345048	416
0	10.383387	373
0	11.421725	347
0	12.460064	332
0	13.498403	343
0	14.536741	317
0	15.575080	345
0	16.613419	277
0	17.651757	312
0	18.690096	237
0	19.728435	260
0	20.766773	254
0	21.805112	247
0	22.843450	259
0	23.881789	240
0	24.920128	210
0	25.958466	237
0	26.996805	241
0	28.035144	246
0	29.073482	197
0	30.111821	203
0	31.150160	202
0	32.188498	213
0	33.226837	202
0	34.265176	178
0	35.303514	171
0	36.341853	192
0	37.380192	156
0	38.418530	176
0	39.456869	179
0	40.495208	163
0	41.533546	148
0	42.571885	158
0	43.610224	160
0	44.648562	124
0	45.686901	139
0	46.725240	152
0	47.763578	126
0	48.801917	140
0	49.840256	130
0	50.878594	123
0	51.916933	130
0	52.955272	134
0	53.993610	107
0	55.031949	127
0	56.070288	109
0	57.108626	96
0	58.146965	95
0	59.185304	111
0	60.223642	101
0	61.261981	76
0	62.300319	79
0	63.338658	110
0	64.376997	113
0	65.415335	108
0	66.453674	99
0	67.492013	94
0	68.530351	108
0	69.568690	87
0	70.607029	82
0	71.645367	87
0	72.683706	76
0	73.722045	73
0	74.760383	58
0	75.798722	65
0	76.837061	67
0	77.875399	59
0	78.913738	62
0	79.952077	67
0	80.990415	61
0	82.028754	70
0	83.067093	70
0	84.105431	58
0	85.143770	46
0	86.182109	50
0	87.220447	49
0	88.258786	29
0	89.297125	40
0	90.335463	41
0	91.373802	37
0	92.412141	43
0	93.450479	47
0	94.488818	32
0	95.527157	37
0	96.565495	37
0	97.603834	39
0	98.642173	74
0	99.680511	398
