# [1]id	[2]Nonref Allele Frequency	[3]Number of sites
0	0.000000	894627
0	1.038339	35806
0	2.076677	16899
0	3.115016	10336
0	4.153355	8177
0	5.191693	6127
0	6.230032	5278
0	7.268371	4053
0	8.306709	3692
0	9.345048	3142
0	10.383387	2812
0	11.421725	2412
0	12.460064	2426
0	13.498403	2320
0	14.536741	2374
0	15.575080	2265
0	16.613419	1828
0	17.651757	1734
0	18.690096	1511
0	19.728435	1566
0	20.766773	1751
0	21.805112	1640
0	22.843450	1300
0	23.881789	1491
0	24.920128	1347
0	25.958466	1400
0	26.996805	1309
0	28.035144	1447
0	29.073482	1287
0	30.111821	1212
0	31.150160	1062
0	32.188498	1169
0	33.226837	1030
0	34.265176	1123
0	35.303514	1141
0	36.341853	1132
0	37.380192	858
0	38.418530	956
0	39.456869	985
0	40.495208	945
0	41.533546	810
0	42.571885	956
0	43.610224	812
0	44.648562	736
0	45.686901	879
0	46.725240	950
0	47.763578	768
0	48.801917	689
0	49.840256	633
0	50.878594	735
0	51.916933	647
0	52.955272	842
0	53.993610	697
0	55.031949	632
0	56.070288	549
0	57.108626	624
0	58.146965	586
0	59.185304	641
0	60.223642	631
0	61.261981	574
0	62.300319	512
0	63.338658	612
0	64.376997	643
0	65.415335	553
0	66.453674	527
0	67.492013	522
0	68.530351	579
0	69.568690	620
0	70.607029	563
0	71.645367	551
0	72.683706	478
0	73.722045	550
0	74.760383	396
0	75.798722	469
0	76.837061	428
0	77.875399	345
0	78.913738	364
0	79.952077	494
0	80.990415	421
0	82.028754	419
0	83.067093	462
0	84.105431	468
0	85.143770	332
0	86.182109	440
0	87.220447	363
0	88.258786	293
0	89.297125	304
0	90.335463	343
0	91.373802	314
0	92.412141	275
0	93.450479	371
0	94.488818	224
0	95.527157	235
0	96.565495	161
0	97.603834	295
0	98.642173	376
0	99.680511	839
