# [1]Depth	[2]Cumulative number of genotypes	[3]Number of genotypes
140	0.000000	0.000000
155	0.000000	0.000000
196	0.000000	0.000000
248	0.000000	0.000000
259	0.000000	0.000000
260	0.000000	0.000000
279	0.000000	0.000000
287	0.000000	0.000000
289	0.000000	0.000000
301	0.000000	0.000000
304	0.000000	0.000000
317	0.000000	0.000000
318	0.000000	0.000000
319	0.000000	0.000000
327	0.000000	0.000000
329	0.000000	0.000000
336	0.000000	0.000000
341	0.000000	0.000000
346	0.000000	0.000000
351	0.000000	0.000000
352	0.000000	0.000000
353	0.000000	0.000000
354	0.000000	0.000000
355	0.000000	0.000000
358	0.000000	0.000000
359	0.000000	0.000000
364	0.000000	0.000000
365	0.000000	0.000000
370	0.000000	0.000000
376	0.000000	0.000000
383	0.000000	0.000000
403	0.000000	0.000000
404	0.000000	0.000000
409	0.000000	0.000000
412	0.000000	0.000000
413	0.000000	0.000000
416	0.000000	0.000000
420	0.000000	0.000000
423	0.000000	0.000000
429	0.000000	0.000000
431	0.000000	0.000000
441	0.000000	0.000000
443	0.000000	0.000000
445	0.000000	0.000000
446	0.000000	0.000000
447	0.000000	0.000000
448	0.000000	0.000000
454	0.000000	0.000000
455	0.000000	0.000000
458	0.000000	0.000000
461	0.000000	0.000000
469	0.000000	0.000000
473	0.000000	0.000000
476	0.000000	0.000000
482	0.000000	0.000000
483	0.000000	0.000000
487	0.000000	0.000000
488	0.000000	0.000000
491	0.000000	0.000000
494	0.000000	0.000000
495	0.000000	0.000000
496	0.000000	0.000000
498	0.000000	0.000000
500	0.000000	0.000000
