# [1]Indel length	[2]Count
-60	10
-58	1
-57	1
-56	2
-54	2
-53	2
-51	2
-50	2
-48	4
-47	3
-46	3
-45	3
-44	1
-43	3
-42	4
-41	2
-40	2
-39	8
-38	11
-37	5
-36	8
-35	7
-34	6
-33	12
-32	15
-31	12
-30	16
-29	19
-28	36
-27	25
-26	32
-25	42
-24	43
-23	37
-22	53
-21	49
-20	72
-19	77
-18	74
-17	95
-16	115
-15	126
-14	152
-13	187
-12	271
-11	182
-10	282
-9	291
-8	435
-7	330
-6	653
-5	976
-4	3205
-3	2881
-2	4897
-1	12035
1	9598
2	2313
3	1038
4	1551
5	503
6	369
7	204
8	322
9	149
10	125
11	73
12	120
13	65
14	41
15	57
16	63
17	26
18	36
19	36
20	50
21	33
22	24
23	10
24	42
25	24
26	7
27	9
28	11
29	8
30	12
31	7
32	11
33	9
34	8
35	4
36	5
37	2
38	8
39	4
40	3
41	2
42	1
43	3
45	4
46	1
47	1
48	3
49	1
51	1
52	3
54	2
55	1
58	1
59	1
60	21
